                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8403,                 7.4217,                 4.8486,                  2.912,                0.49993,                0.50425,                0.45275,                0.19317,                0.29318,                 0.3231,                0.18877,                 0.0525,                 2.0787,                 4.0684,                 3.6155,                 2.0373,             0.00055242,             0.00055242,             0.00055242
                      2,                  2.141,                 3.7428,                  2.542,                   1.98,                0.46307,                0.71199,                0.66286,                0.32162,                0.42148,                0.66813,                0.51489,                0.16005,                 1.7349,                 3.1385,                 2.0176,                 1.7713,              0.0010971,              0.0010971,              0.0010971
                      3,                 1.9031,                 3.2313,                 1.7123,                 1.7704,                0.79402,                0.81644,                0.87198,                0.47801,                0.77112,                 0.7807,                0.81088,                  0.322,                 1.5272,                  2.782,                  1.214,                 1.6343,              0.0016308,              0.0016308,              0.0016308
                      4,                 1.7002,                 2.9504,                  1.293,                 1.6167,                0.85165,                0.84942,                0.88345,                0.50913,                0.81678,                 0.8526,                0.86187,                0.37843,                 1.4841,                 2.4869,                0.99021,                 1.6069,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.5805,                 2.7399,                 1.0792,                 1.5199,                0.92783,                0.93975,                0.95758,                0.58584,                0.91272,                0.91888,                0.92988,                 0.4227,                 1.3392,                 2.3258,                0.81566,                 1.4778,               0.001601,               0.001601,               0.001601
                      6,                 1.5047,                 2.6163,                0.97421,                 1.4522,                0.89931,                0.89035,                0.93393,                0.58045,                0.86597,                0.86691,                0.90098,                0.43833,                 1.2698,                 2.2986,                0.86711,                 1.4292,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.4189,                 2.5294,                0.87554,                 1.3914,                0.93073,                0.92597,                0.95035,                0.59411,                0.91826,                0.91374,                0.93811,                0.44458,                  1.276,                 2.2119,                0.76271,                 1.4129,               0.001568,               0.001568,               0.001568
                      8,                 1.3897,                 2.5097,                0.84168,                 1.3629,                0.91939,                0.89181,                0.93285,                0.59699,                0.92119,                0.88416,                0.92839,                0.44215,                 1.2568,                 2.2664,                0.71947,                 1.4067,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.3388,                 2.4046,                0.79682,                 1.3408,                0.95056,                0.94298,                0.96518,                 0.6214,                0.93448,                 0.9269,                0.94951,                0.48429,                 1.2412,                 2.1637,                 0.6897,                 1.3901,               0.001535,               0.001535,               0.001535
                     10,                 1.3301,                 2.3867,                0.77304,                 1.3316,                0.92443,                0.91874,                0.95196,                0.62664,                0.92301,                 0.9147,                0.94643,                0.47993,                 1.1831,                 2.1809,                0.66468,                 1.3655,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.3089,                 2.3516,                0.75056,                 1.3165,                0.93358,                0.93888,                0.96205,                0.62077,                0.91698,                0.91959,                0.94543,                0.48075,                  1.211,                 2.1797,                0.66553,                 1.3865,               0.001502,               0.001502,               0.001502
                     12,                  1.273,                 2.2917,                0.72042,                 1.2902,                0.95319,                0.93567,                  0.966,                0.63922,                0.94692,                0.92493,                0.95335,                0.49756,                 1.1662,                 2.1076,                 0.6455,                 1.3473,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.2597,                 2.2903,                0.71081,                 1.2835,                0.95137,                0.94591,                0.96966,                0.62566,                0.93756,                0.93275,                0.95063,                0.49615,                  1.196,                 2.0888,                0.61389,                 1.3693,               0.001469,               0.001469,               0.001469
                     14,                 1.2553,                 2.2908,                0.70181,                 1.2754,                0.94705,                0.94025,                0.97114,                0.65667,                0.93544,                0.92855,                0.95988,                0.51675,                 1.1258,                 2.0618,                0.61693,                 1.3152,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.2413,                  2.287,                 0.6883,                 1.2633,                0.96042,                0.95196,                0.97274,                0.63413,                0.94561,                0.94298,                0.96024,                0.49436,                 1.1658,                 2.0578,                0.62196,                 1.3398,               0.001436,               0.001436,               0.001436
                     16,                  1.227,                  2.262,                0.69401,                 1.2627,                0.96316,                0.93808,                0.97571,                0.64136,                0.95176,                0.92638,                0.96347,                0.51066,                 1.1641,                 2.0275,                0.61545,                 1.3412,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.2278,                 2.2287,                0.66429,                 1.2616,                 0.9565,                0.94152,                0.97078,                0.65154,                0.94713,                0.93129,                0.96143,                  0.516,                 1.1803,                 2.0745,                0.56874,                 1.3693,              0.0014029,              0.0014029,              0.0014029
                     18,                  1.201,                 2.2015,                 0.6469,                 1.2447,                0.94795,                0.95322,                0.97141,                0.66862,                0.93641,                 0.9386,                0.96441,                0.52436,                 1.1137,                 2.0256,                0.58663,                  1.314,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.2041,                 2.2085,                0.65307,                 1.2548,                 0.9586,                0.94264,                0.96657,                 0.6498,                0.94254,                0.92655,                0.95405,                 0.4958,                 1.1685,                  2.099,                0.58088,                 1.3557,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.1907,                  2.191,                0.63699,                 1.2359,                0.94631,                0.93275,                0.97312,                0.66506,                0.93773,                0.92398,                0.96134,                0.52832,                 1.0909,                 2.0109,                0.60444,                 1.2912,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.1861,                 2.1726,                0.63765,                 1.2341,                0.95535,                0.94006,                0.96507,                 0.6505,                0.95487,                0.94006,                0.96326,                0.52254,                 1.1504,                 2.0458,                0.58279,                 1.3362,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.1713,                 2.1546,                0.62458,                 1.2223,                0.95739,                0.95601,                0.97698,                0.65691,                0.94728,                0.94578,                0.96543,                0.52611,                 1.1345,                  2.038,                0.56482,                 1.3263,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.1693,                 2.1463,                0.62124,                 1.2217,                0.95504,                0.95506,                0.97618,                0.65646,                0.95057,                0.94298,                0.96585,                0.52931,                 1.1405,                 2.0274,                0.55514,                 1.3264,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.1737,                  2.186,                0.62875,                 1.2273,                0.92961,                0.93841,                0.96596,                0.66204,                0.90778,                0.91648,                0.94805,                0.52304,                 1.0956,                 1.9842,                0.58273,                 1.2925,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.1604,                 2.1299,                 0.6143,                 1.2192,                0.95926,                0.95322,                0.97802,                0.65678,                0.94735,                0.94152,                0.96895,                0.53508,                 1.1607,                 2.0093,                0.54653,                 1.3496,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.1567,                 2.1276,                0.61482,                 1.2189,                0.96909,                0.96169,                0.97956,                0.66073,                0.96563,                0.95165,                0.97298,                0.52159,                 1.1234,                 1.9949,                0.58423,                   1.32,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.1531,                 2.1471,                0.61563,                 1.2156,                0.96056,                0.94628,                0.97588,                0.67226,                  0.949,                0.93458,                0.96169,                0.51954,                 1.0941,                 2.0018,                0.59322,                 1.2986,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.1556,                 2.1106,                0.59637,                 1.2158,                0.97042,                 0.9576,                0.97784,                0.67171,                0.95859,                0.94444,                0.96567,                 0.5355,                 1.1074,                 1.9801,                0.52218,                 1.3102,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.1557,                 2.1123,                0.60582,                 1.2144,                0.95736,                0.95175,                0.97858,                0.65562,                0.94879,                0.93637,                0.96232,                0.52443,                 1.1207,                 2.0667,                0.54877,                 1.3205,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.1435,                 2.1011,                0.59239,                 1.2087,                0.97146,                0.96491,                0.97832,                0.66662,                0.95684,                0.94751,                0.96395,                0.52719,                 1.0921,                 1.9912,                0.53062,                 1.3079,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.1449,                 2.0993,                0.59009,                 1.2067,                0.97984,                0.96554,                0.98718,                0.66744,                0.96377,                0.94946,                0.97174,                0.53879,                 1.0844,                 1.9559,                0.53036,                 1.2929,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.1214,                 2.0837,                0.58165,                 1.1967,                0.95718,                0.96029,                0.97796,                0.67286,                0.94698,                0.94977,                0.96702,                0.53729,                 1.0759,                 1.9718,                0.52651,                 1.2956,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.1262,                 2.0958,                 0.5814,                 1.2029,                0.96458,                 0.9608,                0.98139,                0.68009,                0.95558,                0.95175,                0.97063,                0.55155,                 1.0596,                 1.9503,                0.53625,                 1.2786,              0.0011389,              0.0011389,              0.0011389
